"FIPS","Year","Alzheimers Deaths","Population","STATE","COUNTY","PM2_5GE_Threshold","PM2_5GT35LE50","PM2_5GT50","Poverty Percent, All Ages","% Smokers","% Excessive Drinking","% African American","% Asian","% Hispanic","% Age < 18","% Age 65 and over","% Obese","% Unemployed","% Uninsured","Median Household Income","% Rural","PM2_5GE_ThresholdLastYear","PM2_5GE_ThresholdLast2Year","PM2_5GE_ThresholdLast3Year","PM2_5GE_ThresholdLast4Year","PM2_5GE_ThresholdLast5Year","PM2_5GT35LE50LastYear","PM2_5GT35LE50Last2Year","PM2_5GT35LE50Last3Year","PM2_5GT35LE50Last4Year","PM2_5GT35LE50Last5Year","PM2_5GT50LastYear","PM2_5GT50Last2Year","PM2_5GT50Last3Year","PM2_5GT50Last4Year","PM2_5GT50Last5Year"
6045,2015,15,87649,"California","Mendocino",3,1,2,20.3,18.2,24.1,0.650289017,2.050646848,23.53770988,21.66597853,18.15189467,24.2,7.749959767,21.91184044,42001,45.23058708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6045,2016,14,87628,"California","Mendocino",0,0,0,19,15,17.2,0.703319715,2.179380669,24.09723566,21.89395578,18.92362494,23.2,6.910658193,22.04235002,42840,45.23058708,3,3,3,3,3,1,1,1,1,1,2,2,2,2,2
6045,2017,15,88018,"California","Mendocino",5,4,1,16.3,13.36413462,18.87620106,0.729044256,2.176864539,24.53422173,21.65683579,19.83137286,22.4,5.854701918,15.84941564,43237,45.23058708,0,3,3,3,3,0,1,1,1,1,0,2,2,2,2
6045,2018,19,87606,"California","Mendocino",15,7,8,17.5,14.09600528,18.69794971,0.701830465,2.07810289,24.9532113,21.66887296,20.59729767,24.9,5.22513483,12.01049657,45247,45.23058708,5,5,8,8,8,4,4,5,5,5,1,1,3,3,3
6045,2019,14,86749,"California","Mendocino",0,0,0,14,14.09600528,18.69794971,0.758935672,2.192733305,25.37549138,21.64102797,21.21270649,27.1,4.482163838,9.892485684,50453,45.23058708,15,20,20,23,23,7,11,11,12,12,8,9,9,11,11
6047,2015,56,268455,"California","Merced",17,14,3,25.9,11.7,14.2,3.209005121,8.113118665,56.76371815,30.35619311,10.2135791,31.1,14.67731913,20.78982032,41003,14.27326002,18,38,45,65,77,15,32,39,56,66,3,6,6,9,11
6047,2016,63,268672,"California","Merced",6,6,0,20.3,15.6,16.2,3.177737814,8.050969953,57.50301292,29.96474603,10.45116819,29.3,12.80137972,21.03236213,43818,14.27326002,17,35,55,62,82,14,29,46,53,70,3,6,9,9,12
6047,2017,62,272673,"California","Merced",17,14,3,23,15.33298897,17.19339828,3.100333389,8.070626362,58.15127303,29.85677302,10.62263694,29.5,11.35064213,14.85223563,42879,14.27326002,6,23,41,61,68,6,20,35,52,59,0,3,6,9,9
6047,2018,64,274765,"California","Merced",25,13,12,21.2,14.45934305,17.61845713,3.001429252,7.895873035,58.88220581,29.85238506,10.92298416,26.3,10.4801064,10.13648069,47442,14.27326002,17,23,40,58,78,14,20,34,49,66,3,3,6,9,12
6047,2019,66,277680,"California","Merced",1,1,0,17,14.45934305,17.61845713,2.955554822,8.025730454,59.59115864,29.5738852,11.07076975,25.8,9.304148577,8.370176936,48036,14.27326002,25,42,48,65,83,13,27,33,47,62,12,15,15,18,21
6053,2015,127,433898,"California","Monterey",0,0,0,15.3,12.5,15.4,2.683372743,6.923554076,56.8144189,26.48580077,11.59654499,22,10.13183252,23.53489324,55411,9.816001176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6053,2016,145,435232,"California","Monterey",1,1,0,12.9,13.6,18.9,2.622732668,6.908407211,57.37114693,26.41974851,11.95890055,23.7,9.062207139,24.39357487,57428,9.816001176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6053,2017,110,437907,"California","Monterey",1,1,0,11.9,11.19983658,17.75550548,2.574107279,6.926973621,57.82741566,26.36264744,12.33700086,22.3,8.074242376,17.38815467,60047,9.816001176,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6053,2018,120,435594,"California","Monterey",7,6,1,13.3,12.36516151,17.5737807,2.574259246,6.795915742,58.32337696,26.34571907,12.69208147,24.6,7.559410927,11.94934648,62999,9.816001176,1,2,2,2,2,1,2,2,2,2,0,0,0,0,0
6053,2019,110,434061,"California","Monterey",0,0,0,12.6,12.36516151,17.5737807,2.585023761,6.835469632,58.79467558,26.22954189,13.16192708,25.4,7.182900236,11.00997265,70294,9.816001176,7,8,9,9,9,6,7,8,8,8,1,1,1,1,1
