"FIPS","Year","STATE","COUNTY","PM2_5GE_Threshold","PM2_5GT35LE50","PM2_5GT50"
"53025",2011,"Washington","Grant",0,0,0
"53027",2011,"Washington","Grays Harbor",0,0,0
"53031",2011,"Washington","Jefferson",0,0,0
"53033",2011,"Washington","King",0,0,0
"53035",2011,"Washington","Kitsap",1,1,0
"53037",2011,"Washington","Kittitas",5,4,1
"53039",2011,"Washington","Klickitat",0,0,0
"53041",2011,"Washington","Lewis",0,0,0
"53045",2011,"Washington","Mason",0,0,0
"53047",2011,"Washington","Okanogan",0,0,0
"53051",2011,"Washington","Pend Oreille",5,0,5
"53053",2011,"Washington","Pierce",2,2,0
"53057",2011,"Washington","Skagit",0,0,0
"53061",2011,"Washington","Snohomish",1,1,0
"53063",2011,"Washington","Spokane",0,0,0
"53065",2011,"Washington","Stevens",0,0,0
"53067",2011,"Washington","Thurston",1,1,0
"53071",2011,"Washington","Walla Walla",0,0,0
"53073",2011,"Washington","Whatcom",0,0,0
"53075",2011,"Washington","Whitman",0,0,0
"53077",2011,"Washington","Yakima",6,5,1
"53001",2010,"Washington","Adams",0,0,0
"53003",2010,"Washington","Asotin",0,0,0
"53005",2010,"Washington","Benton",0,0,0
"53007",2010,"Washington","Chelan",0,0,0
"53009",2010,"Washington","Clallam",0,0,0
"53011",2010,"Washington","Clark",0,0,0
"53013",2010,"Washington","Columbia",0,0,0
"53015",2010,"Washington","Cowlitz",0,0,0
"53021",2010,"Washington","Franklin",0,0,0
"53025",2010,"Washington","Grant",0,0,0
"53027",2010,"Washington","Grays Harbor",0,0,0
"53031",2010,"Washington","Jefferson",0,0,0
"53033",2010,"Washington","King",0,0,0
"53035",2010,"Washington","Kitsap",0,0,0
"53037",2010,"Washington","Kittitas",0,0,0
"53039",2010,"Washington","Klickitat",0,0,0
"53041",2010,"Washington","Lewis",0,0,0
"53045",2010,"Washington","Mason",0,0,0
"53047",2010,"Washington","Okanogan",0,0,0
"53051",2010,"Washington","Pend Oreille",0,0,0
"53053",2010,"Washington","Pierce",0,0,0
"53057",2010,"Washington","Skagit",0,0,0
"53061",2010,"Washington","Snohomish",0,0,0
"53063",2010,"Washington","Spokane",0,0,0
"53065",2010,"Washington","Stevens",0,0,0
"53067",2010,"Washington","Thurston",0,0,0
"53071",2010,"Washington","Walla Walla",0,0,0
"53073",2010,"Washington","Whatcom",0,0,0
"53075",2010,"Washington","Whitman",0,0,0
"53077",2010,"Washington","Yakima",0,0,0
"06001",2019,"California","Alameda",0,0,0
"06007",2019,"California","Butte",1,1,0
"06009",2019,"California","Calaveras",0,0,0
"06011",2019,"California","Colusa",0,0,0
"06013",2019,"California","Contra Costa",0,0,0
"06015",2019,"California","Del Norte",0,0,0
"06017",2019,"California","El Dorado",0,0,0
"06019",2019,"California","Fresno",0,0,0
"06021",2019,"California","Glenn",0,0,0
"06023",2019,"California","Humboldt",0,0,0
"06025",2019,"California","Imperial",1,0,1
"06027",2019,"California","Inyo",3,2,1
"06029",2019,"California","Kern",1,1,0
"06031",2019,"California","Kings",20,19,1
"06033",2019,"California","Lake",0,0,0
"06037",2019,"California","Los Angeles",0,0,0
"06039",2019,"California","Madera",0,0,0
"06041",2019,"California","Marin",0,0,0
